epoch;accuracy;loss;val_accuracy;val_loss
0;0.8921804428100586;0.26316529512405396;0.9375;0.16227251291275024
1;0.9369390606880188;0.1707303673028946;0.9047015905380249;0.22673514485359192
2;0.9611662030220032;0.10814850777387619;0.9349662065505981;0.1753646284341812
0;0.892884373664856;0.26145029067993164;0.9497466087341309;0.14406606554985046
1;0.9625154137611389;0.1072460189461708;0.9515765905380249;0.13267125189304352
2;0.9758315086364746;0.07382220774888992;0.9515765905380249;0.16140450537204742
0;0.8941749334335327;0.25795480608940125;0.933417797088623;0.1789892166852951
1;0.9547134637832642;0.12427499890327454;0.9483389854431152;0.1431017965078354
2;0.9833402037620544;0.05042725428938866;0.950309693813324;0.13646559417247772
0;0.8890714049339294;0.27012038230895996;0.9408783912658691;0.16742244362831116
1;0.9470288157463074;0.15024597942829132;0.9249718189239502;0.19145557284355164
2;0.9717252254486084;0.08120260387659073;0.950309693813324;0.14517101645469666
0;0.8676677346229553;0.3072197735309601;0.8568412065505981;0.32698702812194824
1;0.9178789258003235;0.2110689878463745;0.9321509003639221;0.18998482823371887
2;0.9629281759262085;0.10511373728513718;0.9375;0.17095303535461426
0;0.8871368765830994;0.2711207866668701;0.9336993098258972;0.18400976061820984
1;0.9319536089897156;0.18075817823410034;0.9387668967247009;0.16793611645698547
2;0.9586559534072876;0.11632273346185684;0.9380630850791931;0.1688099205493927
