epoch;accuracy;loss;val_accuracy;val_loss
0;0.8689286112785339;0.30932122468948364;0.890625;0.25015100836753845
1;0.9329391121864319;0.1670319139957428;0.8997747898101807;0.2510552704334259
2;0.9775681495666504;0.06410061568021774;0.9225788116455078;0.23732542991638184
3;0.993758499622345;0.01911458931863308;0.9279279112815857;0.31613993644714355
4;0.9971373677253723;0.00835137628018856;0.9231418967247009;0.34734290838241577
5;0.9994368553161621;0.002319775987416506;0.9073761105537415;0.40625494718551636
6;0.9977005124092102;0.006511998362839222;0.9204673171043396;0.3899509906768799
7;0.9994837641716003;0.002294482197612524;0.9222972989082336;0.4395900368690491
8;0.9999530911445618;0.00031639166991226375;0.9207488894462585;0.44492581486701965
9;1.0;6.292335456237197e-05;0.9232826828956604;0.48046112060546875
